Time,Velocity_L,Velocity_R
0.000178099,0,0
0.02050209,0,0
0.040651083,0,0
0.060643911,0,0
0.080976009,0,0
0.101142406,0,0
0.121372461,0,0
0.142104387,0,0
0.160739183,0,0.056242283
0.180778503,0,1.34263289
0.200745106,0,2.215653419
0.221254825,0,4.197640419
0.241351843,0,7.831742287
0.260637522,0,8.2352314
0.281332493,0,6.118031502
0.301370382,0,6.662350655
0.321227074,0,7.755248547
0.341157198,0,8.15510273
0.360906601,0,7.371618271
0.381831169,0,6.115138054
0.402332783,0,6.23288393
0.420516252,0,7.571745872
0.440448761,0,7.885148525
0.460758447,0,6.205307961
0.481542587,0,7.009383202
0.501861811,0,8.074450493
0.520677805,0,7.606547832
0.540599346,0,6.237863064
0.561156034,0,6.438512802
0.580560446,0,7.793404579
0.600576162,0,8.020939827
0.62151432,0,6.718737602
0.641190767,0,6.393815994
0.660635471,0,7.245227814
0.680565834,0,7.978518963
0.700516939,0,6.813386917
0.720818281,0,6.750856876
0.741321564,0,7.657784462
0.761187315,0,7.374308109
0.780763149,0,6.448643208
0.800924301,0,6.668741703
0.82046771,0,7.938647747
0.84126544,0,7.882377625
0.862140417,0,6.94222784
0.88075161,0,6.268555641
0.902052402,0,6.968474865
0.9211936,0,8.041807175
0.940900802,0,7.58257103
0.960727215,0,6.276518822
0.981076002,0,6.905361176
1.000954628,0,8.035300255
1.020949125,0,7.122026443
1.041311741,0,6.220332623
1.060797691,0,6.826630592
1.081105709,0,8.068493843
1.101035118,0,7.708102703
1.122025966,0,6.264387608
1.141097307,0,6.755073071
1.160949707,0,7.687095165
1.181143045,0,7.804723263
1.200955152,0,6.863208771
1.221151352,0,6.625487328
1.240603208,0,7.572785378
1.261642694,0,7.939557552
1.281213999,0,6.940875053
1.301403522,0,6.145133018
1.321647167,0,6.942599297
1.34208703,0,8.058346748
1.36180377,0,7.594803333
1.380879879,0,6.255167961
1.401149034,0,6.45630312
1.420983791,0,7.770221233
1.440974712,0,7.723665237
1.461350441,0,6.348669052
1.481209755,0,6.387668133
1.501634598,0,7.686544418
1.521150589,0,7.805429459
1.54122448,0,6.834290504
1.561685562,0,6.383738518
1.581421137,0,7.63698864
1.601755142,0,8.017804146
1.621314287,0,7.408509731
1.640610456,0,6.226045609
1.662978649,0,7.098588943
1.681800127,0,7.9029603
1.701698541,0,7.478718758
1.727585077,0,6.265799522
1.740981817,0,6.542584896
1.761652708,0,7.813327312
1.78165698,0,7.656987667
1.801678896,0,6.6754179
1.821005106,0,6.412143707
1.840882778,0,7.281650066
1.862156629,0,7.993740559
1.880875349,0,7.692602158
1.902104139,0,6.350965977
1.922235489,0,6.390442371
1.940966129,0,7.707673073
1.962551117,0,8.013688087
1.981855154,0,6.660462379
2.002591133,0,6.183835506
2.021565676,0,7.237417698
2.041571855,0,8.003839493
2.060953855,0,7.343777657
2.081622362,0,6.401888371
2.101066351,0,6.691244125
2.121205091,0,8.039493561
2.140869856,0,6.917201996
2.160716295,0,6.352314472
2.180984735,0,7.550486565
2.204116821,0,7.904308319
2.221978426,0,6.244493484
2.240949392,0,7.026082039
2.260860205,0,8.079721451
2.281619549,0,6.956560612
2.30134511,0,6.277887344
2.320708752,0,6.974525452
2.342124462,0,8.054800987
2.361142158,0,7.619656086
2.380909443,0,6.267181396
2.401247501,0,6.853830338
2.421198368,0,7.809870243
2.440953493,0,7.674629211
2.46086812,0,6.634634495
2.481561422,0,6.386843681
2.501330614,0,7.733111382
2.521001339,0,8.057149887
2.540750265,0,7.222385406
2.561911821,0,6.133173943
2.586054325,0,6.710194588
2.601903677,0,7.626526833
2.628659248,0,7.870752335
2.64088273,0,6.880635262
2.660974264,0,6.660260201
2.68125081,0,7.882284641
2.700792312,0,7.872791767
2.720929384,0,6.567387581
2.740864277,0,6.334292412
2.761349678,0,7.494383335
2.780905008,0,7.915384293
2.801330328,0,7.019767761
2.821529388,0,6.252598286
2.841080427,0,6.532957077
2.861293077,0,7.837296486
2.881006956,0,7.564129829
2.900732994,0,6.265002251
2.920738697,0,6.488472462
2.941405773,0,7.8145504
2.961441994,0,7.683324337
2.981539965,0,6.694514275
3.001446485,0,6.42092514
3.021566391,0,7.290819645
3.040703535,0,8.032040596
3.069013357,0,6.792271614
3.082147121,0,6.226364136
3.10100317,0,7.21109724
3.120692491,0,7.790904999
3.14121294,0,6.449506283
3.161765098,0,6.355261326
3.181852817,0,7.588216782
3.201056957,0,7.826414108
3.223744392,0,6.479440212
3.241802692,0,6.348623753
3.261574268,0,7.576628685
3.280815601,0,8.054776192
3.300825357,0,6.972375393
3.321394443,0,6.246510506
3.34131813,0,6.983157635
3.362224579,0,8.082762718
3.38098073,0,7.0572896
3.400788784,0,6.2258358
3.420624494,0,6.874274731
3.441022873,0,7.988664627
3.460658073,0,7.068256378
3.481441259,0,6.211569786
3.501197338,0,6.874240875
3.52129364,0,8.052097321
3.540884971,0,7.725370407
3.561268091,0,6.325147152
3.580635547,0,6.769629955
3.605033636,0,7.985859394
3.62230134,0,7.806568146
3.641334057,0,6.89144659
3.661389112,0,6.311152458
3.681611299,0,7.077665806
3.701778889,0,8.053314209
3.721416712,0,7.458515644
3.741522074,0,6.281511307
3.760968447,0,7.028575897
3.781008243,0,7.909644604
3.800902843,0,7.512255192
3.821211576,0,6.420060635
3.841201782,0,6.202187061
3.861530542,0,7.485990524
3.881027937,0,7.960394382
3.901220798,0,7.048858166
3.920966148,0,6.206848145
3.943563938,0,7.368333817
3.960818529,0,8.066957474
3.981578827,0,7.12113905
4.00063014,0,6.215479851
4.020836592,0,7.298171043
4.040970564,0,8.054872513
4.060577392,0,6.326442242
4.080858469,0,6.347708225
4.101109028,0,7.657374382
4.121296406,0,8.037132263
4.140804767,0,6.869432449
4.160567283,0,6.344130039
4.181392908,0,7.129600525
4.201011658,0,7.926416874
4.220600128,0,7.847734928
4.241089105,0,6.259932041
4.261281013,0,7.044207096
4.281296253,0,8.067749977
4.301251411,0,7.493589878
4.320742845,0,6.228600502
4.340836286,0,6.569345474
4.361388206,0,7.855789661
4.381196022,0,7.607944012
4.400981665,0,6.614991188
4.420701027,0,6.470152855
4.441062689,0,7.350216866
4.460816383,0,7.982584
4.480928182,0,6.619996548
4.500697613,0,6.236400604
4.522147178,0,7.320582867
4.541391849,0,8.039365768
4.572354555,0,7.131201267
4.581120491,0,6.609482288
4.60512352,0,6.753483772
4.62051034,0,8.032318115
4.641622305,0,7.361413479
4.660774469,0,6.183180809
4.681374073,0,7.109330654
4.700899124,0,8.025922775
4.720968246,0,6.954494476
4.741112709,0,6.275900364
4.760778427,0,7.532114506
4.780825853,0,7.562815666
4.800649404,0,6.21002388
4.821467161,0,6.910617828
4.840614796,0,7.822075367
4.861195803,0,7.632322311
4.880955458,0,6.579353333
4.90184617,0,6.426899433
4.92133379,0,7.31706953
4.941517353,0,8.045742989
4.96062088,0,7.267480373
4.981720924,0,6.177316189
5.001143455,0,6.718400002
5.020967245,0,7.987422466
5.040644169,0,7.411756039
5.060911894,0,6.206940651
5.081683397,0,6.63031292
5.100748062,0,7.941928387
5.120639801,0,7.857928753
5.141106844,0,6.462056637
5.161454916,0,6.603541374
5.181162834,0,7.525004387
5.200532913,0,7.881511211
5.221415996,0,6.498123169
5.240718841,0,6.550139904
