Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-1.05560534986818E-12,5.17741757590009E-12,6.3189360698697E-12,0,0,0,2.49683972846965,0.00596159328883625,1.52667097292163E-09,-5.06469082751186E-08,0.00670663028700821,9.04363601046615E-06,0.0122170913936761,0,0,0,0,0,0,package://tf_urdf4/meshes/base_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://tf_urdf4/meshes/base_link.STL,,base_link-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
base_scan,-2.4980018054066E-16,3.83902436749961E-16,0.00994901655834558,0,0,0,0.0660277715680958,1.96156281019639E-05,-3.12159560643289E-11,-1.38845436699261E-21,1.96156714637003E-05,1.40730328551229E-22,3.48742138584865E-05,0,0,0,0,0,0,package://tf_urdf4/meshes/base_scan.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://tf_urdf4/meshes/base_scan.STL,,base_scan-1,Origin_scan_joint,Axis_scan_joint,scan_joint,revolute,-0.000111983196857368,0.0672432860074702,0.0279411844683552,0,0,1.5707963267949,base_link,0,0,1,0,0,0,0,,,,,,,,
camera_link,-3.59644433374554E-06,-8.99346854922878E-05,-0.0199626937112506,0,0,0,0.182998719642637,3.59922734205334E-05,2.02060737877945E-09,4.50592006752717E-08,0.000405203068673987,4.47034378864407E-08,0.0003962824182528,0,0,0,0,0,0,package://tf_urdf4/meshes/camera_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://tf_urdf4/meshes/camera_link.STL,,camera-1,Origin_camera_joint,Axis_camera_joint,camera_joint,fixed,-0.000111983196859081,0.0492432860074682,0.081941184468354,1.5707963267949,0,-3.14159265358979,base_link,0,0,0,,,,,,,,,,,,
left_wheel_link,-0.0150496497452622,-1.96168775667971E-12,-1.66533453693773E-16,0,0,0,0.0895053073671553,0.000104006422478187,7.8942028092174E-16,4.46906348273237E-20,5.80082032825446E-05,9.78356935396607E-16,5.80082032677947E-05,0,0,0,0,0,0,package://tf_urdf4/meshes/left_wheel_link.STL,0.250980392156863,0.250980392156863,0.250980392156863,1,0,0,0,0,0,0,package://tf_urdf4/meshes/left_wheel_link.STL,,left_wheel_link-1/wheel-3,Origin_left_wheel_joint,Axis_left_wheel_joint,left_wheel_joint,continuous,-0.154611983196859,0.07499328600747,-0.122058815531645,0.848490512040727,0,0,base_link,1,0,0,,,,,,,,,,,,
right_wheel_link,-0.0150496497452624,-1.96179184008827E-12,5.55111512312578E-17,0,0,0,0.0895053073671553,0.000104006422478187,7.89519101125263E-16,-4.17572598563198E-20,5.80082032825446E-05,9.78341688803556E-16,5.80082032677947E-05,0,0,0,0,0,0,package://tf_urdf4/meshes/right_wheel_link.STL,0.250980392156863,0.250980392156863,0.250980392156863,1,0,0,0,0,0,0,package://tf_urdf4/meshes/right_wheel_link.STL,,right_wheel_link-1/wheel-2,Origin_right_wheel_joint,Axis_right_wheel_joint,right_wheel_joint,continuous,0.154388016803143,0.0749932860074705,-0.122058815531644,0.537102295661347,0,3.14159265358979,base_link,1,0,0,,,,,,,,,,,,
caster_link,0.00460335958615544,-2.77555756156289E-17,-2.77555756156289E-17,0,0,0,0.01152385226836,2.43995864492354E-06,-1.53524721689842E-21,1.5945974258491E-21,1.40033256895839E-06,-1.05548246161766E-21,1.40033256895839E-06,0,0,0,0,0,0,package://tf_urdf4/meshes/caster_link.STL,1,1,1,1,0,0,0,0,0,0,package://tf_urdf4/meshes/caster_link.STL,,caster_ wheel_link-1,Origin_caster_joint,Axis_caster_joint,caster_joint,continuous,-0.00529453860616872,-0.154589183772954,-0.137058815531645,3.10068855200101,0,-0.0342357063287251,base_link,1,0,0,,,,,,,,,,,,
arm_1_link,-0.00304007438065453,0.0196164335046979,-0.00291517433011595,0,0,0,0.102309676287535,5.85277337608616E-05,-1.8303414931448E-07,-5.85534183281326E-07,0.000109918724976135,3.63049047084484E-07,5.95682017970658E-05,0,0,0,0,0,0,package://tf_urdf4/meshes/arm_1_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://tf_urdf4/meshes/arm_1_link.STL,,arm_1_link-1,Origin_arm_1_joint,Axis_arm_1_joint,arm_1_joint,continuous,-0.00011198319686706,-0.00375671399253373,0.159441184468351,1.57079632679492,0,1.96777674023234,base_link,0,1,0,10,100,-1.57,1.57,,,,,,,,
arm_2_link,-0.00136241892713562,0.0760000000000023,0.00324974749159382,0,0,0,0.0731866074343534,4.80073815600609E-05,-1.0085102807972E-08,8.91994561567396E-06,3.20760640864427E-05,2.4055771364669E-08,3.04704178358962E-05,0,0,0,0,0,0,package://tf_urdf4/meshes/arm_2_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://tf_urdf4/meshes/arm_2_link.STL,,arm_2_link-1,Origin_arm_2_joint,Axis_arm_2_joint,arm_2_joint,continuous,0.000571784258836123,0.0325000000000039,0.000239713915631086,0,0,0,arm_1_link,0.38663534779586,0,-0.9222326755406,10,100,-1.57,1.57,,,,,,,,
arm_3_link,-0.00258153228787279,0.0524015939542957,0.000939181170582016,0,0,0,0.103604281307373,3.85881018738449E-05,-4.80398867266677E-07,5.05895931055262E-06,2.28862113904851E-05,-1.4445332567535E-07,2.97794533691077E-05,0,0,0,0,0,0,package://tf_urdf4/meshes/arm_3_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://tf_urdf4/meshes/arm_3_link.STL,,arm_3_link-1,Origin_arm_3_joint,Axis_arm_3_joint,arm_3_joint,continuous,0,0.151999999999986,0,0,0,0,arm_2_link,0.38663534779586,0,-0.9222326755406,10,100,-1.57,1.57,,,,,,,,
arm_4_link,-0.00101187417577296,0.03750117867634,-0.0036670811466383,0,0,0,0.099566536585408,2.11129356369916E-05,-8.60508841028882E-08,2.61664426613929E-06,1.51148953321379E-05,-3.60758307772027E-08,1.71059722694777E-05,0,0,0,0,0,0,package://tf_urdf4/meshes/arm_4_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://tf_urdf4/meshes/arm_4_link.STL,,arm_4_link-1,Origin_arm_4_joint,Axis_arm_4_joint,arm_4_joint,continuous,0,0.146399999999993,0,0,0,0,arm_3_link,0.386635347795599,0,-0.92223267554071,10,100,-1.57,1.57,,,,,,,,
